,1AO_17,1AO_20,1AO_23,1AO_22,1AC_17,1AC_20,1AC_23,1AC_22,1NO_16,1NO_18,1NO_21,1NO_10,1NC_16,1NC_18,1NC_21,1NC_10,2AO_17,2AO_20,2AO_23,2AO_22,2AC_17,2AC_20,2AC_23,2AC_22,2NO_16,2NO_18,2NO_21,2NO_10,2NC_16,2NC_18,2NC_21,2NC_10,3AO_17,3AO_20,3AO_23,3AO_22,3AC_17,3AC_20,3AC_23,3AC_22,3NO_16,3NO_18,3NO_10,3NC_16,3NC_18,3NC_21,3NC_10,4AO_17,4AO_20,4AO_23,4AO_22,4AC_17,4AC_20,4AC_23,4AC_22,4NO_16,4NO_18,4NO_21,4NO_10,4NC_16,4NC_18,4NC_21,4NC_10,5AO_17,5AO_20,5AO_23,5AO_22,5AC_17,5AC_20,5AC_23,5AC_22,5NO_16,5NO_18,5NO_21,5NO_10,5NC_16,5NC_18,5NC_21,5NC_10,6AO_17,6AO_20,6AO_23,6AO_22,6AC_17,6AC_20,6AC_23,6AC_22,6NO_16,6NO_18,6NO_21,6NO_10,6NC_16,6NC_18,6NC_21,6NC_10
asv41080,0,0.163607686,0,0,0,0,0.137373121,0,0.310305248,0.052440811,0.075695581,0.209797733,0,0.106859844,0,0,0.017316017,0.05431115,0,0,0,0,0,0,0.051136811,0.021289214,0,0.050096615,0,0,0,0,0.031149479,0.132347409,0,0.050267553,0,0,0.134696141,0,0.172405422,0.080137052,0,0.007711686,0,0.039632082,0,0.077288665,0.038233141,0.020576517,0,0,0,0.151754467,0.046961585,0.292362118,0.171201693,0.054794521,0.208918419,0,0,0,0,0,0.069421228,0,0.077054663,0,0,0.026654959,0,0.111830729,0.039193564,0.043757293,0.103126885,0,0.018870019,0,0,0.039960927,0.019912952,0.021643349,0.070411266,0,0,0.108671044,0.039705411,0,0,0,0,0,0.020684441,0,0
asv42871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085862922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029825706,0
asv51903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00831838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027571538,0,0,0.023982048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv54779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014175349,0,0,0,0,0,0,0,0,0.009715123,0,0,0,0.013310853,0,0,0,0,0,0,0,0,0,0,0,0.008987687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv01618,0,0,0,0,0,0.023751465,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009147218,0,0,0,0,0.007991597,0.006442967,0,0,0.015072239,0,0,0.04708478,0.006342137,0,0,0,0,0,0,0,0,0,0,0,0.031597889,0,0.011340279,0,0.014304892,0,0,0.0068164,0.028822023,0,0.010734077,0,0.028121345,0,0,0.007986512,0.018309651,0,0.017670683,0,0.00837147,0,0.015410933,0,0.017732892,0,0,0,0,0,0,0.011991024,0.022200022,0,0.024820465,0,0,0,0.012802048,0,0.086221627,0,0.016650656,0,0.008582095,0,0.008086951,0,0.104076604,0,0
asv06671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032314717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008881126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032012805,0,0,0,0,0
asv08493,0,0,0,0,0,0,0,0,0.005588733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007708515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv12798,0.224226892,0.161583325,0.12885906,0.207822658,0.101864777,0.04509846,0.094126027,0.04340167,0.031137227,0,0.280278232,0.179314302,0.026838433,0.028528755,0.124193934,0.151011779,0.029843646,0.034306469,0,0,0.013061831,0.004923117,0.01789469,0.019928869,0.022833135,0,0.040739155,0,0,0,0,0,0,0.014755407,0,0,0,0.006250488,0,0,0.06634675,0,0,0,0,0,0,0.01993597,0.03009843,0.06172955,0,0.038252048,0.007302856,0.046455449,0.154302352,0.099160293,0.017692636,0.317527222,0.131858346,0,0,0,0,0.091498021,0.121034096,0.136246721,0.06164373,0.049290231,0.021984712,0,0.159377393,0.138259298,0.073689397,0.235455909,0.06615687,0,0.01998002,0.070710642,0.041367442,0.136009599,0.108766753,0.136043905,0.044807169,0.05263814,0.019556813,0.156969285,0.125520333,0.057208249,0.020905457,0.18887555,0.08895646,0,0.012125362,0.119302824,0.112905047
asv13120,0.112997864,0,0,0,0,0,0,0,0,0.009417716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014815546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv18651,0,0,0,0,0,0,0,0,0.009580685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006152656,0,0,0,0,0,0,0,0,0,0,0,0.0059417,0,0,0,0,0,0,0.047798941,0.125329692,0,0,0,0,0,0.04644612,0,0.075869336,0.032536475,0,0,0,0,0,0.026923295,0.034380014,0,0,0,0,0,0.042149167,0.011101408,0.075012502,0,0,0,0,0,0.008140189,0.012801183,0.029373116,0.022403585,0,0,0,0,0.012922494,0,0.030412165,0,0,0,0,0
