,T2_54_AO,T2_63_AO,T2_69_AO,T2_72_AO,T2_78_AO,T2_81_AO,T3_54_AO,T3_63_AO,T3_69_AO,T3_72_AO,T3_78_AO,T3_81_AO,T4_54_AO,T4_63_AO,T4_69_AO,T4_72_AO,T4_78_AO,T4_81_AO,T5_54_AO,T5_63_AO,T5_69_AO,T5_72_AO,T5_78_AO,T5_81_AO,T6_54_AO,T6_63_AO,T6_69_AO,T6_72_AO,T6_78_AO,T6_81_AO,T7_1_AO,T7_2_AO,T7_3_AO,T7_25_AO,T7_26_AO,T7_27_AO,T2_51_NO,T2_57_NO,T2_60_NO,T2_66_NO,T2_75_NO,T2_84_NO,T3_51_NO,T3_57_NO,T3_60_NO,T3_66_NO,T3_75_NO,T3_84_NO,T4_51_NO,T4_57_NO,T4_60_NO,T4_66_NO,T4_75_NO,T4_84_NO,T5_51_NO,T5_57_NO,T5_60_NO,T5_66_NO,T5_75_NO,T5_84_NO,T6_51_NO,T6_57_NO,T6_60_NO,T6_66_NO,T6_75_NO,T6_84_NO,T7_13_NO,T7_14_NO,T7_15_NO,T7_37_NO,T7_38_NO,T7_39_NO
crevice_Caged2_EAM,0,0,0,0,0,0,4,20,0,0,0,0,0,4,0,0,0,0,0,12,0,0,4,0,0,0,0,0,12,0,8.00,0.00,4.00,8.00,4.00,0.00,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.00,4.00,0.00,16.00,0.00,4.00
crevice_Caged3_Turf,76,4,80,24,52,84,88,12,36,92,68,80,88,80,68,56,92,100,72,12,12,28,72,68,64,68,84,0,64,80,28.00,16.00,60.00,68.00,24.00,32.00,28,84,16,76,44,4,68,100,40,76,20,84,100,100,40,8,48,88,4,76,12,16,12,80,88,96,56,4,72,96,48.00,52.00,44.00,68.00,44.00,60.00
crevice_Caged4_Lobophora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,8,0,0,4,4,20.00,56.00,12.00,12.00,44.00,44.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,20,0,0,0,0,0,28,0,0.00,0.00,0.00,12.00,24.00,12.00
crevice_Caged5_Long_turf,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,96,0,0,4,20,48,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crevice_Caged6_Macroalgae,0,0,8,0,0,0,0,0,4,8,0,0,0,0,8,44,0,0,0,0,4,52,0,0,0,0,0,100,0,0,0.00,8.00,0.00,4.00,0.00,12.00,0,0,0,0,0,0,0,0,0,4,16,0,0,0,4,80,36,0,0,0,24,68,8,0,0,0,12,92,0,0,0.00,4.00,0.00,0.00,0.00,0.00
crevice_Caged7_Thick_turf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,24.00,0.00,8.00,0.00,8.00,0.00,72,0,0,24,4,0,0,0,0,0,0,0,0,0,52,0,4,12,0,8,0,0,0,20,0,0,12,0,0,4,0.00,0.00,4.00,0.00,0.00,8.00
crevice_Caged8_Sand,24,20,12,0,44,16,0,0,60,0,8,0,12,0,24,0,8,0,28,60,80,16,20,32,0,0,4,0,12,8,20.00,20.00,16.00,8.00,12.00,4.00,0,8,0,0,44,0,28,0,56,0,4,16,0,0,0,0,4,0,92,12,64,16,44,0,0,0,12,4,0,0,40.00,40.00,52.00,4.00,28.00,16.00
crevice_Caged9_NCCA,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,8,0,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
crevice_Caged10_Inverts,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0.00,0.00,0.00,0.00,4.00,0.00,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,0,0,0,0,0,4,0,0,4,8,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
crevice_Caged11_Cyanobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crevice_Caged12_Bare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crevice_Open1_CCA,4,48,16,44,32,52,8,56,56,56,52,52,8,12,4,16,28,12,12,8,4,16,20,8,20,28,88,20,24,44,40.00,16.00,4.00,4.00,0.00,0.00,0,0,28,20,0,12,48,56,60,92,32,32,32,12,0,8,16,0,36,8,0,20,28,24,48,28,24,12,20,0,12.00,12.00,12.00,4.00,12.00,0.00
crevice_Open2_EAM,4,4,0,0,0,8,0,40,0,0,4,4,0,16,32,24,8,12,20,12,12,0,8,20,16,16,4,0,4,8,0.00,0.00,0.00,0.00,0.00,0.00,4,60,0,60,64,4,0,8,12,8,0,4,12,16,8,8,8,0,8,28,4,0,16,0,0,12,8,0,20,0,24.00,28.00,8.00,28.00,12.00,4.00
crevice_Open3_Turf,68,40,60,36,64,40,92,0,28,40,40,44,88,68,12,52,64,72,8,4,32,24,4,60,40,52,8,64,68,48,4.00,36.00,48.00,44.00,28.00,28.00,88,0,32,4,36,0,36,32,24,0,68,40,56,64,84,64,72,88,0,8,0,4,8,72,48,60,20,52,44,96,60.00,44.00,80.00,36.00,32.00,64.00
crevice_Open4_Lobophora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,20,4,0,8,4,0,16.00,48.00,44.00,36.00,64.00,64.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,8,0,0,0,4.00,8.00,0.00,24.00,44.00,32.00
crevice_Open5_Long_turf,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crevice_Open6_Macroalgae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
crevice_Open7_Thick_turf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
crevice_Open8_Sand,20,8,24,16,4,0,0,0,16,4,4,0,4,0,52,4,0,4,52,72,52,60,68,12,0,0,0,0,0,0,40.00,0.00,4.00,16.00,8.00,8.00,8,36,0,0,0,20,16,0,4,0,0,24,0,8,0,20,4,0,56,56,96,76,44,4,0,0,36,12,4,4,0.00,8.00,0.00,8.00,0.00,0.00
crevice_Open9_NCCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,0,0.00,0.00,0.00,0.00,0.00,0.00
