,1AO_1,1AO_5,1AO_3,1AO_29,1AC_7,1AC_9,1AC_8,1AC_33,1NO_13,1NO_15,1NO_17,1NO_37,1NC_19,1NC_20,1NC_21,1NC_43
asv29897,0,0,0,0,0,0,0,0,0,0,0,0.018269846,0,0.211613312,0.039334682,0.036870567
asv30887,0,0,0,0,0,0,0,0,0,0,0,0,0.019436389,0,0,0
asv32647,0,0,0,0,0.0242974,0,0,0,0,0,0,0,0,0,0,0
asv34211,0,0,0,0,0.052454254,0,0,0,0,0,0,0,0,0,0,0
asv37287,0,0.073784828,0,0,0,0,0,0,2.450605464,0.737218292,0,0.080387321,0,0,0,0
asv38239,0.02712902,0.001709265,0.007651305,0.027629822,0,0,0,0,0.005137011,0,0.010947421,0,0,0.014371395,0,0
asv41221,0,0.01054201,0,0.009209941,0,0,0,0,0.038772584,0.002754922,0,0,0,0.004790465,0,0
asv45009,0.028308461,0,0.102017394,0.104379327,0,0,0.005421597,0,0,0,0.021894842,0,0,0,0,0
asv50379,0,0,0,0,0,0,0,0,0,0,0,0.029231753,0,0,0.162957968,0
asv52259,0.041373904,0.122340284,0.085439567,0,0,0.10776064,0,0,0.421256072,0,0,0.043847629,0,0,0,0.066718168
asv54220,0,0.02222045,0.035706088,0.044514713,0,0.075497592,0.113853536,0,0,0,0,0,0,0.175864545,0,0
asv54625,0,0,0.011476957,0,0,0,0,0,0.006966505,0,0,0.012788892,0,0,0,0.054427979
asv06503,0,0,0,0,0,0,0,0,0,0,0.006255669,0,0,0,0.00561924,0
asv21454,0,0.004558041,0,0,0,0,0,0,0,0,0,0,0.010129473,0,0,0
asv04314,0,0,0,0,0.006052414,0,0,0,0,0,0,0,0,0,0,0.019313154
asv08833,0.005806864,0,0,0,0,0.020615079,0,0,0,0,0,0.014615876,0,0,0,0
asv08902,0,0,0,0,0,0,0,0,0,0,0,0.029231753,0,0,0,0
asv18201,0,0,0,0,0.02320092,0.02453029,0,0,0,0,0,0,0,0.018203767,0.042144302,0.024580378
asv30691,0,0,0,0,0.023226512,0.005451176,0,0,0,0,0,0,0,0,0,0
asv35745,0,0,0,0,0,0.009993822,0,0,0,0,0,0,0,0,0.033715442,0
asv36549,0,0,0,0,0,0,0,0,0,0,0,0,0.019596133,0,0,0
asv37220,0,0,0,0,0,0,0.010843194,0.008756721,0,0,0,0,0,0,0,0
asv50500,0,0.009685837,0.010201739,0,0,0,0,0.008756721,0.002935435,0,0,0,0.004665746,0.007664744,0,0.098321511
asv52043,0,0.004558041,0,0,0.00607435,0,0,0,0,0,0,0,0,0,0,0
asv55819,0,0,0,0,0,0,0,0,0,0,0,0,0.01565464,0,0,0
