,1AO_1,1AO_5,1AO_3,1AO_29,1AC_7,1AC_9,1AC_8,1AC_33,1NO_13,1NO_15,1NO_17,1NO_37,1NC_19,1NC_20,1NC_21,1NC_43
ord19,0.431166642,0.438692968,0.277997399,0.360722673,2.659507748,0.887413557,0.51234091,0.746072611,0.11460617,0.261708718,0.442588596,0.255777839,1.009367341,0.948904075,0.823218701,2.396586839
ord20,2.391040223,1.963229877,3.370399653,3.625646615,2.208167192,1.159622099,1.370308624,1.576209741,2.598098501,1.367614903,0.760063808,2.404311684,1.17070163,0.723212428,0.823218701,1.808413512
ord21,0.232975507,0.12773756,0.182356092,0.14735905,1.334528671,1.417562957,0.28192304,0.323998669,0.056188846,0.017161121,0.423821588,0.193660364,0.97960487,0.785618729,0.744549337,1.164056465
ord22,2.742066932,4.924656883,2.75319442,2.78447204,2.826833888,1.867366607,2.389568848,4.155939684,1.665267924,1.06924981,1.047824591,1.289851101,0.896407136,0.944951471,0.901888065,1.882154646
ord23,1.08569133,2.809182262,0.591700885,0.620136,1.678386879,1.574416801,2.168638773,1.077076656,0.445578748,0.37265511,0.838259673,0.827624007,1.302045889,1.321765063,1.118228815,2.217501229
ord24,8.477648869,3.934182274,2.838633987,5.593503922,0.546705801,1.821337124,1.352688434,1.09108741,4.955388442,10.95436996,4.632323043,4.967571024,3.113199962,3.225623602,1.874016633,1.200927031
ord25,0.853854723,0.784307971,0.836542631,0.901039188,0.453887497,0.472606545,0.607218856,1.313508117,2.075595777,1.122876699,0.434769009,0.85320179,0.762145723,0.763631429,1.036749831,0.835732846
ord26,4.098859515,4.693866023,13.00721773,9.237570418,7.749137763,7.316263114,6.8908497,5.402896723,5.523756726,4.329023734,5.43930437,5.98337444,7.714289219,8.858884801,7.923128793,6.303111174
ord27,0.230945082,0.178875392,0.13389783,0.205688673,0.887969213,0.815326027,0.578755472,0.761834708,0.091877162,0.079936355,0.273685528,0.191833379,0.713609677,0.64279649,0.907507305,1.18512536
ord28,2.007466762,0.778384057,0.739626106,1.24334198,0.737108557,1.06888715,1.257810488,0.812623689,1.592065818,2.004185252,2.424071815,2.099205262,1.48342875,1.432013392,1.845920432,1.176346654
ord29,0.647263232,0.596860073,0.153026091,0.494266812,1.671738861,1.653194167,0.656013229,1.241703007,0.343210603,0.257425706,0.631822589,0.537133461,1.362342017,1.559424728,1.505956395,1.037643093
ord30,1.139645813,1.527573556,1.60422352,2.144381169,1.177341399,2.553065944,1.420458396,2.099861644,1.56057854,17.15732064,3.456257233,4.187448616,3.277650506,3.041648444,2.907956844,1.627572161
ord31,0.824754336,2.256485929,10.02830983,8.50384515,2.237822689,1.596009554,1.381151818,1.413334734,2.202952329,1.737676622,1.729692534,2.460948205,1.913030774,2.124435336,1.882445493,3.523772737
ord32,0.102827961,0.444342786,0.179805657,0.293183109,1.233173165,0.194580174,1.013838626,0.380041682,0.488006301,0.326180842,0.228331926,0.319722298,0.072306405,0.01964028,0,0.45473699
ord33,0.612797428,2.251715374,1.500930909,1.23873701,2.669449191,0.875790004,1.421813795,3.413369761,1.151446076,0.576900562,0.616183416,0.529825523,1.807721562,1.348893499,2.798381659,1.100849779
ord34,1.689312115,3.318829782,2.299217017,2.905736258,2.516402232,3.02777105,4.630043779,2.984290443,2.971757863,3.230844415,2.136311032,4.06504065,1.961063012,1.902096389,1.941447516,2.110401011
